NodeId,PageRank
1054,0.0003669029744210904
1536,0.0003041578157201442
171,0.00030099164971736234
453,0.00028986187671668887
407,0.00028223056308426207
263,0.0002813030274255896
4664,0.0002775480787763292
1959,0.00027038846158288545
261,0.00026914426785834935
410,0.0002682102187656411
165,0.00026800762088555067
1198,0.0002551478822817735
127,0.0002482475607682311
4054,0.00024209084300844217
2265,0.00023898754317967596
345,0.00023829073941780744
763,0.00023824943415891523
989,0.00023268439553971316
987,0.00023161137659571216
408,0.00023007434502363613
1551,0.00022185833127758744
699,0.00022062599492263065
2485,0.00021865538227038876
2975,0.0002164980142835289
1971,0.0002149205518540365
220,0.00021330646556751991
99,0.00021167122273509697
147,0.00021051990764164695
628,0.0002068798616421577
348,0.00019971854455977245
131,0.0001990459179057125
565,0.0001976248134124275
695,0.00019707919491598173
185,0.0001963815796386924
988,0.00019599126405343243
568,0.00019506546441693453
3881,0.0001937699082611836
4682,0.00019348382222306198
3076,0.00019003666858811487
3060,0.0001899256946824292
1537,0.0001893897297281431
867,0.0001889931054601701
412,0.00018816990286279922
344,0.0001874740829767749
566,0.0001845317357042088
1282,0.00018440209976758781
1503,0.00018365155455710576
1164,0.00018204456344209292
889,0.00018177601223210585
1456,0.00018079430017059302
5315,0.00017936778639691283
2364,0.00017928411774330915
3802,0.0001790352743925006
495,0.0001784676484154263
765,0.00017778007715548336
761,0.00017701597020248485
1535,0.00017570283247938417
1943,0.00017464161355154468
200,0.00017443267409855456
1534,0.00017368285776632838
592,0.0001723132430821871
2096,0.00017173965364812325
2196,0.00017070426230955988
3578,0.00017046263829215713
7008,0.0001702422748906036
5673,0.00016954104919001268
696,0.00016939994482874024
794,0.00016793296178245742
167,0.00016751245216828128
260,0.00016746968630685657
1932,0.00016577416195282673
945,0.00016525354237551884
1963,0.00016474754556526668
5728,0.00015983405470181846
1186,0.00015965087339570348
2484,0.00015957012247717664
129,0.0001594535849059422
405,0.00015776447883924025
2195,0.00015709248454881644
669,0.00015689768422776917
664,0.00015612475145759756
1143,0.0001558610774027246
1553,0.00015582380804472876
1255,0.00015518579006306083
648,0.00015498197342507527
2197,0.00015488878303489156
1356,0.00015379914070245057
1116,0.00015375617407297946
118,0.00015236864190697856
1529,0.00015218406530577354
984,0.0001518938246973119
562,0.00014891602996336135
1506,0.00014751815511510733
2927,0.0001474828215855981
77,0.00014663743014974416
4870,0.00014643811495374673
1058,0.00014609009997118886
121,0.00014588843308699072
4673,0.00014542777322875915
148,0.00014491589312655128
133,0.0001437483920048375
1050,0.00014361646386869216
2018,0.00014339935514597385
346,0.00014326134522122254
638,0.00014304330139921706
2283,0.0001429331739422074
693,0.0001422190676418786
4094,0.00014165129297733257
1579,0.00014130660533668733
168,0.00014106857446818426
397,0.00014085508715220232
630,0.00013926150512898205
4790,0.00013897966865607282
